iter	Passed	Remaining
243	1037	3214
244	1042	3211
245	1047	3209
246	1052	3208
247	1057	3207
248	1062	3205
249	1067	3203
250	1072	3200
251	1077	3198
252	1082	3195
253	1086	3192
254	1091	3188
255	1096	3185
256	1101	3184
257	1106	3183
258	1111	3179
259	1114	3173
260	1118	3166
261	1121	3160
262	1125	3153
263	1129	3147
264	1132	3141
265	1136	3135
266	1139	3129
267	1145	3127
268	1150	3126
269	1154	3121
270	1158	3115
271	1161	3109
272	1165	3104
273	1171	3103
274	1176	3101
275	1181	3099
276	1186	3096
277	1191	3094
278	1196	3092
279	1201	3090
280	1206	3087
281	1211	3084
282	1216	3082
283	1221	3079
284	1226	3076
285	1231	3075
286	1235	3070
287	1239	3064
288	1243	3058
289	1246	3052
290	1250	3047
291	1255	3044
292	1260	3042
293	1266	3041
294	1271	3039
295	1277	3037
296	1281	3032
297	1286	3030
298	1290	3024
299	1293	3018
300	1297	3012
301	1301	3008
302	1305	3002
303	1309	2998
304	1313	2993
305	1317	2988
306	1321	2982
307	1324	2976
308	1328	2970
309	1332	2966
310	1337	2962
311	1342	2959
312	1347	2957
313	1352	2954
314	1356	2949
315	1360	2944
316	1365	2942
317	1371	2940
318	1377	2940
319	1383	2939
320	1388	2937
321	1394	2935
322	1399	2933
323	1404	2930
324	1409	2927
325	1415	2926
326	1420	2923
327	1425	2920
328	1429	2915
329	1433	2910
330	1437	2905
331	1442	2901
332	1446	2896
333	1449	2890
334	1453	2885
335	1458	2882
336	1464	2881
337	1469	2878
338	1473	2873
339	1479	2871
340	1484	2868
341	1490	2866
342	1495	2865
343	1501	2862
344	1506	2859
345	1510	2856
346	1516	2853
347	1521	2850
348	1525	2845
349	1529	2840
350	1533	2834
351	1536	2829
352	1540	2824
353	1544	2818
354	1547	2812
355	1551	2807
356	1555	2802
357	1560	2799
358	1565	2796
359	1570	2792
360	1575	2788
361	1579	2784
362	1584	2780
363	1588	2775
364	1591	2769
365	1595	2763
366	1598	2757
367	1602	2751
368	1605	2745
369	1609	2739
370	1612	2734
371	1616	2728
372	1620	2723
373	1624	2718
374	1627	2713
375	1631	2708
376	1635	2703
377	1639	2698
378	1643	2692
379	1647	2687
380	1651	2682
381	1655	2677
382	1658	2671
383	1662	2666
384	1665	2660
385	1669	2654
386	1672	2649
387	1676	2644
388	1680	2639
389	1684	2634
390	1687	2629
391	1691	2624
392	1695	2618
393	1699	2613
394	1703	2608
395	1707	2603
396	1710	2598
397	1714	2592
398	1718	2588
399	1722	2583
400	1725	2578
401	1729	2573
402	1733	2568
403	1737	2563
404	1742	2559
405	1746	2555
406	1751	2551
407	1755	2546
408	1759	2542
409	1763	2537
410	1767	2533
411	1771	2528
412	1775	2524
413	1779	2519
414	1784	2514
415	1788	2510
416	1792	2505
417	1795	2500
418	1799	2494
419	1802	2489
420	1806	2484
421	1810	2479
422	1814	2475
423	1818	2470
424	1822	2466
425	1827	2462
426	1831	2457
427	1835	2452
